name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SD_3_A6	Escherichia coli	562	S	28	3	31	1.0
SRR8526932	Escherichia coli	562	S	53	5	58	1.0
SD_3_C5	Escherichia coli	562	S	41	6	47	1.0
SRR11668363	Escherichia coli	562	S	112	12	124	1.0
SRR9114555	Escherichia coli	562	S	105	21	126	0.8873200000000001
SRR9114555	Escherichia marmotae	1499973	S	5	0	5	0.035210000000000005
SRR9114555	Shigella virus SfMu	1980943	S	4	1	5	0.035210000000000005
SRR9114555	Salmonella enterica	28901	S	4	1	5	0.035210000000000005
SRR10947527	Escherichia coli	562	S	91	10	101	1.0
SRR11080869	Escherichia coli	562	S	172	4	176	1.0
MVC542	Escherichia coli	562	S	91	13	104	1.0
SRR11101255	Escherichia coli	562	S	112	5	117	1.0
SRR11668372	Escherichia coli	562	S	124	16	140	0.90909
SRR11668372	Escherichia marmotae	1499973	S	9	0	9	0.05844
SRR11668372	Shigella virus SfMu	1980943	S	4	1	5	0.03247
SRR11484681	Escherichia coli	562	S	109	8	117	1.0
SRR9995620	Escherichia coli	562	S	72	11	83	1.0
SRR5017547	Escherichia coli	562	S	117	8	125	1.0
SRR11449852	Escherichia phage D108	665033	S	6	3	9	0.04639
SRR11449852	Escherichia coli	562	S	123	24	147	0.75773
SRR11449852	Escherichia marmotae	1499973	S	5	0	5	0.025769999999999998
SRR11449852	Shigella virus SfMu	1980943	S	4	0	4	0.02062
SRR11449852	Salmonella enterica	28901	S	20	7	27	0.13918
SRR8236051	Escherichia coli	562	S	118	13	131	1.0
SRR800432	Escherichia coli	562	S	99	30	129	1.0
SRR12017880	Escherichia coli	562	S	55	3	58	1.0
MVC152	Escherichia coli	562	S	103	6	109	1.0
SRR9029457	Escherichia coli	562	S	131	9	140	1.0
SRR11668366	Escherichia coli	562	S	84	8	92	1.0
SRR11668367	Escherichia coli	562	S	112	18	130	0.94891
SRR11668367	Escherichia marmotae	1499973	S	6	0	6	0.0438
SRR8776507	Escherichia coli	562	S	71	6	77	1.0
SRR7788260	Escherichia coli	562	S	90	5	95	1.0
SRR8206988	Escherichia coli	562	S	192	8	200	1.0
