Name,Source,Year,Continent,Country,SRA,BioProject,BioSample
SRR8084429,Companion Animal,2018,North America,United States,SRR8084429,PRJNA325243,SAMN10262357
SRR8099014,Companion Animal,2018,North America,United States,SRR8099014,PRJNA324573,SAMN10283404
SRR8099021,Companion Animal,2018,North America,United States,SRR8099021,PRJNA324573,SAMN10283416
SRR8176779,Companion Animal,2018,North America,United States,SRR8176779,PRJNA324573,SAMN10396969
SRR8206988,Companion Animal,2018,North America,Canada,SRR8206988,PRJNA318589,SAMN10078981
SRR8207013,Companion Animal,2018,North America,United States,SRR8207013,PRJNA324573,SAMN10416384
SRR8216447,Companion Animal,2018,North America,United States,SRR8216447,PRJNA318589,SAMN10442528
SRR8236051,Companion Animal,2018,North America,United States,SRR8236051,PRJNA318591,SAMN10393224
SRR8236058,Companion Animal,2018,North America,United States,SRR8236058,PRJNA318591,SAMN10393204
SRR8258291,Companion Animal,2018,North America,United States,SRR8258291,PRJNA324565,SAMN10457078
SRR8297456,Companion Animal,2018,North America,United States,SRR8297456,PRJNA324573,SAMN10478629
SRR8397437,Companion Animal,2018,North America,United States,SRR8397437,PRJNA318589,SAMN10686132
SRR8526932,Companion Animal,2018,North America,United States,SRR8526932,PRJNA324565,SAMN10751944
SRR8541299,Human,2013,North America,Canada,SRR8541299,PRJNA516477,SAMN10821388
SRR8541385,Human,2013,North America,Canada,SRR8541385,PRJNA516477,SAMN10821474
SRR8544057,Companion Animal,2018,North America,United States,SRR8544057,PRJNA318589,SAMN10883179
SRR8632524,Companion Animal,2018,North America,United States,SRR8632524,PRJNA324573,SAMN11022081
SRR8632526,Companion Animal,2018,North America,United States,SRR8632526,PRJNA324573,SAMN11022117
SRR8632533,Companion Animal,2018,North America,United States,SRR8632533,PRJNA324573,SAMN11022120
SRR8632714,Companion Animal,2018,North America,United States,SRR8632714,PRJNA324573,SAMN11022126
SRR8728078,Companion Animal,2018,North America,United States,SRR8728078,PRJNA318591,SAMN11127476
SRR8728083,Companion Animal,2018,North America,United States,SRR8728083,PRJNA318591,SAMN11127475
SRR8728085,Companion Animal,2018,North America,United States,SRR8728085,PRJNA318591,SAMN11127483
SRR8728086,Companion Animal,2018,North America,United States,SRR8728086,PRJNA318591,SAMN11127473
SRR8728096,Companion Animal,2018,North America,United States,SRR8728096,PRJNA318591,SAMN11127498
SRR8737952,Environment,2017,Europe,Germany,SRR8737952,PRJNA526980,SAMN11125194
SRR8738079,Environment,2017,Europe,Germany,SRR8738079,PRJNA526980,SAMN11125085
SRR8738211,Environment,2016,Europe,Germany,SRR8738211,PRJNA526980,SAMN11124818
SRR8738218,Environment,2016,Europe,Germany,SRR8738218,PRJNA526980,SAMN11124811
SRR8767331,Companion Animal,2018,North America,United States,SRR8767331,PRJNA324573,SAMN11102867
SRR8776507,Companion Animal,2017,Europe,Italy,SRR8776507,PRJNA528851,SAMN11246506
SRR8776709,Companion Animal,2017,Europe,Italy,SRR8776709,PRJNA528851,SAMN11246495
SRR8861527,Companion Animal,2018,North America,United States,SRR8861527,PRJNA324565,SAMN11352641
SRR8868738,Companion Animal,2018,North America,Canada,SRR8868738,PRJNA318589,SAMN11371659
SRR8868859,Companion Animal,2018,North America,United States,SRR8868859,PRJNA318589,SAMN11371681
SRR8926896,Companion Animal,2018,North America,United States,SRR8926896,PRJNA324573,SAMN11461884
SRR9016900,Companion Animal,2018,North America,United States,SRR9016900,PRJNA318591,SAMN11581017
SRR9016923,Companion Animal,2018,North America,United States,SRR9016923,PRJNA318591,SAMN11581027
SRR9029425,Companion Animal,2018,North America,United States,SRR9029425,PRJNA318591,SAMN11604733
SRR9029457,Companion Animal,2018,North America,United States,SRR9029457,PRJNA318591,SAMN11604757
SRR9029549,Companion Animal,2018,North America,United States,SRR9029549,PRJNA318591,SAMN11604836
SRR9029851,Companion Animal,2018,North America,United States,SRR9029851,PRJNA318591,SAMN11604747
SRR9051983,Companion Animal,2017,North America,United States,SRR9051983,PRJNA338676,SAMN11640228
SRR9114555,Companion Animal,2018,North America,United States,SRR9114555,PRJNA324573,SAMN11842174
SRR9301022,Companion Animal,2018,North America,United States,SRR9301022,PRJNA325243,SAMN12056306
SRR9301025,Companion Animal,2018,North America,United States,SRR9301025,PRJNA325243,SAMN12056317
SRR9301057,Companion Animal,2018,North America,United States,SRR9301057,PRJNA324573,SAMN12056334
SRR9301059,Companion Animal,2018,North America,United States,SRR9301059,PRJNA324573,SAMN12056336
SRR9302377,Companion Animal,2016,North America,United States,SRR9302377,PRJNA230968,SAMN12057929
SRR958598,Human,1996,Europe,Sweden,SRR958598,PRJNA186300,SAMN01885910
SRR9616063,Human,2017,Europe,France,SRR9616063,PRJNA551371,SAMN12145194
SRR9617625,Companion Animal,2019,North America,United States,SRR9617625,PRJNA324565,SAMN12175410
SRR9694239,Companion Animal,2018,North America,United States,SRR9694239,PRJNA324573,SAMN12286867
SRR9734950,Companion Animal,2019,North America,United States,SRR9734950,PRJNA324565,SAMN12344205
SRR9831357,Companion Animal,2019,North America,United States,SRR9831357,PRJNA338676,SAMN12360687
SRR9901263,Companion Animal,2018,North America,United States,SRR9901263,PRJNA324573,SAMN12497059
SRR9914210,Companion Animal,2005,North America,United States,SRR9914210,PRJNA357722,SAMN12438585
SRR9984736,Livestock,2018,North America,United States,SRR9984736,PRJNA292663,SAMN12359688
SRR9995620,Companion Animal,2018,North America,United States,SRR9995620,PRJNA318589,SAMN12601405
SRR9997955,Companion Animal,2018,North America,United States,SRR9997955,PRJNA318589,SAMN12603150
SRR9998284,Companion Animal,2018,North America,United States,SRR9998284,PRJNA318589,SAMN12601672
SRR9998325,Companion Animal,2018,North America,Canada,SRR9998325,PRJNA318589,SAMN12601727
T10,Companion Animal,2017,Europe,France,SRR18803075,PRJNA827950,SAMN27625403
U04,Companion Animal,2017,Europe,France,SRR18803073,PRJNA827950,SAMN27625404
V17,Companion Animal,2017,Europe,France,SRR18803072,PRJNA827950,SAMN27625405
V43,Companion Animal,2017,Europe,France,SRR18803071,PRJNA827950,SAMN27625406
