"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_11454","","hypothetical protein","14","0","0","393","100.0","100.0","inf","3.19360411987838e-26","5.134037983116483e-22","1.711345994372161e-22"
"group_11456","","hypothetical protein","14","0","0","393","100.0","100.0","inf","3.19360411987838e-26","5.134037983116483e-22","1.711345994372161e-22"
"group_3076","","hypothetical protein","14","0","0","393","100.0","100.0","inf","3.19360411987838e-26","5.134037983116483e-22","1.711345994372161e-22"
"group_11457","","hypothetical protein","14","1","0","392","100.0","99.74554707379136","inf","4.790406179817504e-25","7.70105697467462e-21","9.626321218343274e-22"
"group_11458","","hypothetical protein","14","1","0","392","100.0","99.74554707379136","inf","4.790406179817504e-25","7.70105697467462e-21","9.626321218343274e-22"
"group_11459","","hypothetical protein","14","1","0","392","100.0","99.74554707379136","inf","4.790406179817504e-25","7.70105697467462e-21","9.626321218343274e-22"
"group_11460","","hypothetical protein","14","1","0","392","100.0","99.74554707379136","inf","4.790406179817504e-25","7.70105697467462e-21","9.626321218343274e-22"
"group_11461","","hypothetical protein","14","1","0","392","100.0","99.74554707379136","inf","4.790406179817504e-25","7.70105697467462e-21","9.626321218343274e-22"
